pdidx,other_indie_consoles,fixed,,
0,,,,
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,Arduboy,,,
10,,,,
11,Anbernic systems (RG552 ect),,,
12,,,,
13,Anbernic systems (RG552 ect),,,
14,Analogue Pocket,,,
15,Arduboy,,,
16,,,,
17,Raspberry Pi running RetroPie,RetroPie,,Piboy DMG
18,,,,
19,,,,
20,Retroid Pocket,,,
21,,,,
22,Anbernic systems (RG552 ect),,,
22,Retroid Pocket,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,Piboy DMG,Other,,Playdate
28,,,,
29,,,,
30,,,,
31,Anbernic systems (RG552 ect),,,
32,,,,
33,Arduboy,,,
33,Retroid Pocket,,,
34,,,,
35,Anbernic systems (RG552 ect),,,
36,,,,
37,,,,
38,Retroid Pocket,,,
39,,,,
40,Anbernic systems (RG552 ect),,,
40,Powkiddy,Other,,RetroPie
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
46,Playdate,Playdate,,Miyoo Mini
47,,,,
48,,,,
49,Arduboy,,,
50,,,,
51,,,,
52,,,,
53,,,,
54,Arduboy,,,
55,Retropie,RetroPie,,OUYA
56,Arduboy,,,
56,Analogue Pocket,,,
56,nt,Analogue Super Nt,,Thumby
56,noir,Other,,Evercade
56,and mega,Other,,Modded Gameboy
57,,,,
58,,,,
59,,,,
60,Arduboy,,,
60,Thumby,Thumby,,Funkey S
61,Arduboy,,,
62,,,,
63,does Evercade count?,Evercade,,Analogue Pocket
64,,,,
65,Retroid Pocket,,,
66,,,,
67,Anbernic systems (RG552 ect),,,
67,Miyoo,Miyoo Mini,,Other
68,Analogue Pocket,,,
69,,,,
70,Anbernic systems (RG552 ect),,,
70,Freeplay CM3,Other,,Analogue Super Nt
70,clockworkPi,ClockworkPi,,ClockworkPi
71,Analogue Pocket,,,
72,,,,
73,,,,
74,,,,
75,Miyoo Mini,Miyoo Mini,,Pocket CHIP
76,Thumby,Thumby,,Pocket Sprite
77,Analogue Pocket,,,
78,Playdate,Playdate,,
79,,,,
80,,,,
81,,,,
82,,,,
83,Arduboy,,,
84,Arduboy,,,
84,Anbernic systems (RG552 ect),,,
84,OUYA dev kit :),OUYA,,
85,,,,
86,Arduboy,,,
86,Analogue Pocket,,,
87,Arduboy,,,
87,Thumby,Thumby,,
88,,,,
89,,,,
90,Arduboy,,,
91,,,,
92,,,,
93,,,,
94,,,,
95,,,,
96,,,,
97,,,,
98,,,,
99,,,,
100,,,,
101,,,,
102,,,,
103,Analogue Pocket,,,
103,Analogue Super NT,Analogue Super Nt,,
103,MiSTer,Other,,
104,Anbernic systems (RG552 ect),,,
104,Powkiddy RGB Max 2,Other,,
104,Miyoo Mini v2,Miyoo Mini,,
105,Arduboy,,,
106,,,,
107,,,,
108,Retroid Pocket,,,
109,,,,
