comment,Other,General Positive,Mixed,Negative,Slow,Quick,Friendly,Helpful
"They were easy to deal with; you are clearly talking with a person who cares and is empowered to solve your problem, not someone with a script.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Great people,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
i received an answer with a suggested workaround quickly but the team does not have bandwidth to address the underlying issue. unclear if/when they will,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Wonderful attention to detail and authenticity in their replies.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Support was extremely responsive. Please pay them more. 2x their currently hourly rate, thx.",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"The process of contacting them and the return policies are great, but the speed of replies is extremely slow. I understand that it's a hectic time, but I am still awaiting a reply to a follow-up email from a week ago, while my Playdate remains unusable :(",0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
"Never heard back, and it's been like a month.",0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Good communication,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Nice and quick,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Very long to respond,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
"Fast, friendly, personal",0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Still need to need to reach out,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Problem with secondary order.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Japanese support was much quicker to respond than English support.,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
No response after 3 weeks,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
"Support through the official channels was slow. It took several days between each interaction. However, I understand support was probably swamped from the initial release. They were very understanding and polite, though. Support through the dev forums was very fast and friendly, once I got a mod’s attention. Seeking help on the dev forum is actually what got my device functional again.",0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
You’re doing a great job!,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Very backlogged and slow to respond, but when they do respond they’re helpful. ",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
"Contacted Panic to change shipping address, it went smoothly with 0 issues and very quick help. ",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"All interactions great, just slow. Get a couple of interns!",0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
"I asked them to update the group estimates, and they promptly responded that that update was in progress.  I guess the fact that I needed to ask about the out-of-date estimates indicates that I wasn't completely satisfied.  My request would be to keep estimates honest, even if that means putting TBD -- it's better than a date that has already come and gone.",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
keep the good work ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Keep on Keepin' on!,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The cover i guess seems to be a little to wide because when i use the crank itll knock into the back part of the cover multiple times and i feel like that can cause problems in the future.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"The support was great, once it responded, but only getting a generic form automatic response until a human can respond much, much later, makes it feel like your submission has been lost in a black hole.

I understand you're a small company and are likely swamped with Playdate support, but that's all the more reason you really should be using one of those systems that assigns a ticket number in the auto-response (to give customers assurance there's a tracking system in place), allows replies to the first automatic email to be appended to the ticket, with copy in the email that indicates doing so will work, and finally, the first automatic email should include a copy of the original form response, so the person who needs support has a detailed record of exactly what they said, so that if the ticket needs to be updated, they can remember what's already been communicated.

Tl;dr, make it work like online support ticket systems usually work for consumers!",1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
shoutout to the OG Mike <3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Emailed last night, no response yet.",0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
"Though replies have been slow, they have always been polite and thorough.  I understand they are a small team working with a new launch, so I was not upset.  The twitter replies seem to be very fast and have a positive attitude (I can see them replying to other customers)",0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
"The response time is slow, but they are helpful. ",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Still waiting to hear from support.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Haven't needed to use support yet but i have the impression i would have a good time if i did !,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Definitely <3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Very nice and good,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
I contacted them about a week and a half ago. No email response so I tweeted them and they said they are backed up and will get back to me,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Love the feel of the unit ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Was sent a replacement unit for first defective one very quickly.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"Keep up the good work, I know your slammed, I’m patient!",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"I haven't needed to contact Panic support, which means the current process is very good. I did think about adding the Playdate Cover to my preorder before my unit arrived. There was good feedback and visible success shown from users who contacted Panic Support for this on Twitter. I still didn't attempt to reach out because I didn't think it was worth the hassle if I couldn't do it myself.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Everyone seems nice and helpful, but there is a big delay in receiving responses.",0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
"Excellent, friendly service, but clearly a bit swamped due to some long response times. ",0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Please add in an option to do a hard reset using a long hold of the lock button.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I have not yet received a response so cannot comment.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Haven't heard back in over a week,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Thank you for taking care of my issue and helping with the return. However I had to wait for a few weeks to get an answer and I had to contact you twice. I was told that you were waiting for new stock to initiate a return, but I think it would have been better to let me know that right away, so that at least I knew that I was not ignored. I didn't mind waiting to get it replaced, but I did feel a bit ignored.",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
