weight,word
6,12_month
30,1st
40,2023
18,2_stereo
37,3rd_party
45,able
11,absolutely
28,access
11,accessible
152,accessory
48,actual
10,actually
15,add
22,additional
33,adventure
35,already
62,also
24,also_love
12,amazing
13,amount
37,andor
13,announce
96,announced
125,announcement
55,announcement_season
36,another
207,another_season
20,anything
35,api
49,app
76,app_store
28,appear
41,application
38,apps
39,around
46,arrive
9,article
10,asap
19,attractive
23,audio
21,automatic
60,availability
39,available
11,avenue
8,awesome
45,backlight
13,bad
47,based
27,best
60,better
51,better_game
40,better_quality
28,beyond
25,big
25,bit
16,bloom
50,bluetooth
16,boy
2,bring
8,building
27,built
8,bummer
47,buy
21,ca
27,ca_wait
25,capability
42,case
8,casual
313,catalog
35,catalog_release
49,catalog_store
57,catalogue
14,charge
23,check
13,classic
31,clone
13,code
70,color
25,come
27,coming
25,communication
249,community
133,community_game
12,concept
90,console
82,content
11,continuation
32,continue
22,continued
34,continued_support
19,continuing
23,control
41,cool
56,cool_game
22,could
28,course
36,cover
26,crank
23,creator
32,curated
12,current
37,cute
18,date
32,dedicated
78,delivered
109,delivery
15,design
25,desk
33,dev
33,develop
7,developed
38,developed_game
99,developer
22,developing
55,development
105,device
66,devs
34,different
12,direct
31,discovery
332,dock
17,dock_poolsuite
15,done
6,doubt
4,dream
4,due
38,easier
21,easy
10,edition
8,effort
7,either
10,else
33,emulation
13,end
33,engaging
15,enough
26,eshop
17,especially
34,etc
50,even
20,event
16,every
28,everyone
32,everything
20,example
101,excited
42,exciting
7,expand
7,expanded
4,expansion
13,expect
78,experience
15,exploring
29,far
49,faster
53,faster_shipping
108,feature
8,feel
24,find
24,fine
35,first
20,fm
14,focus
41,folder
16,folder_system
19,folk
38,friend
6,frustrating
30,full
91,fun
68,future
30,future_season
15,game_apps
31,game_better
21,game_coming
21,game_development
24,game_jam
55,game_like
27,game_marketplace
49,game_online
53,game_organization
62,game_playdate
98,game_store
20,gameboy
29,gameplay
21,gaming
22,general
105,get
49,getting
21,goal
22,going
69,good
14,goose
24,got
98,great
60,great_game
27,group
39,grow
11,guess
29,haha
42,hand
11,happy
101,hardware
11,hear
17,help
18,high
96,high_quality
15,higher
8,highlight
33,hold
14,home
14,honestly
34,hope
114,hopefully
35,hoping
20,hour
5,idea
34,ideally
10,idk
1,important
48,improvement
10,incentive
14,including
16,increase
7,independent
16,independently
81,indie
42,indie_developer
55,indie_game
8,info
13,initial
27,instead
40,integrated
13,integration
12,interest
21,interesting
16,invest
22,itch
42,itchio
27,jam
70,keep
48,kind
18,kinda
22,know
14,large
11,later
54,launch
25,le
4,leaderboards
12,leaning
57,least
20,level
14,life
95,light
100,like
17,like_bloom
29,like_see
9,list
17,listen
63,little
16,load
14,loading
23,lock_screen
17,lol
13,long
57,longer
43,longer_indepth
6,look
41,looking_forward
108,lot
26,love
26,love_see
34,made
4,mainly
68,make
30,making
32,making_game
31,many
19,market
10,marketing
44,marketplace
6,may
172,maybe
3,mean
19,meaty
19,medium
29,menu
26,merch
57,mine
20,mode
10,moment
8,momentum
21,money
4,month
28,mostly
20,much
113,multiplayer
55,multiplayer_game
46,music
7,nature
6,navigate
32,neat
45,need
31,network
65,networking
135,new
127,new_season
124,news
8,newsletter
9,next
13,next_year
26,nice
14,night
36,nonseason_game
19,nothing
14,number
48,official
49,official_game
13,old
65,ondevice
81,one
56,online
30,opportunity
54,option
89,order
38,organization
40,original_game
12,otherwise
22,outside_season
14,outstanding
99,panic
17,part
4,party
24,pay
29,pen
123,people
17,perhaps
8,pico8
25,plan
42,platform
69,play
17,play_date
277,playdate
14,playdate_would
26,playdates
38,please
18,point
21,pokemon
40,poolsuite
22,port
7,possible
40,possibly
11,potential
5,potentially
35,preorder
19,preorders
20,probably
13,process
14,produced
21,product
47,production
15,profile
21,programming
13,progress
31,project
16,proper
17,published
17,pulp
20,purchase
19,purchasing
56,puzzle_game
49,quality
91,quality_game
19,quickly
27,rather
34,real
117,really
18,receive
115,release
9,released
17,releasing
20,replayability
24,resource
15,result
24,roadmap
22,rpg
25,russia
18,sale
56,screen
2,scroll
118,sdk
168,season
11,season_1
505,season_2
22,season_two
22,second
96,second_season
116,see
28,seeing
28,seller
22,series
27,service
12,share
81,ship
16,shipped
52,shipping
43,shop
29,short
22,show
37,side
24,sideload_game
16,sideloaded
32,sim
6,simply
13,simulation
3,since
8,single
12,slightly
4,small
62,software
16,someone
50,something
20,something_similar
27,soon
35,sort
34,speaker
7,specific
19,specifically
4,standard
22,stay
369,stereo_dock
27,stereodock
24,still
174,store
117,storefront
5,story
1,stream
55,stuff
13,style
11,super
20,supply
165,support
18,support_season
45,sure
22,surprise
24,switch
93,system
23,take
18,teenage
42,thing
17,think
14,think_could
6,thinking
72,third_party
75,time
37,title
20,ton
31,tool
8,top
5,tough
46,tutorial
27,two
30,type
46,ui
67,unique
52,unique_game
58,unit
78,unit_shipped
10,upcoming
112,update
13,updating
33,use
22,user
26,using
30,variety
52,video
9,wait
75,want
77,want_see
36,wave
60,way
20,website
24,week
42,weird
70,well
30,well_known
16,whatever
21,wider
42,wifi
31,within
23,without
22,work
16,working
23,world
113,would
18,would_also
31,would_awesome
19,would_cool
18,would_great
56,would_like
24,would_love
7,written
12,yeah
38,year
11,yet
