weight,word
39,16x16
15,4sprite
53,ability
22,able
20,access
12,achieve
38,action
47,active
2,actual
34,adding
10,adjacent
20,adjustment
24,allow
6,already
11,also
14,alternative
46,andor
39,animation
10,annoying
1,anyone
10,anywhere
18,appreciated
19,approach
4,arbitrary
2,arg1
2,arg2
2,args
100,array
18,art
18,asset
13,assign
12,audience
20,basic
1,become
6,beginner
1,beginnerfriendly
4,best
170,better
73,bigger
28,bitsy
4,bizarre
10,box
24,break
10,bring
14,browser
10,bug
37,bugfixes
23,button
10,camera
10,centered
55,character
23,click
10,clicking
38,code
10,coding
2,collaboratif
1,come
1,command
1,complaint
12,complexity
28,compound
24,construct
64,control
18,controlling
30,conversion
6,cool
23,coordinate
2,could
6,couple
18,create
6,creative
1,customization
4,decision
13,define
33,deployment
54,detailed
23,detect
55,dev
1,develop
81,development
18,devs
31,different
2,dream
1,ease
72,easier
35,easy
13,ec
62,editor
2,emit
2,engine
13,entity
30,envelope
1,even
37,exit
13,explicitly
18,export
1,extremely
22,far
143,feature
18,feel
10,fix
38,flexibility
36,flexible
1,focus
24,format
1,forum
19,forward
117,full
54,function
12,functionality
2,fx
153,game
38,gamemaker
23,get
10,good
6,got
35,graphic
4,great
21,grid
30,growing
16,guardrail
18,hacky
4,half
1,happens
24,hard
39,hd
1,hear
23,held
20,higher
14,host
4,however
24,hypercardstyle
1,idk
33,ie
26,image
36,importexport
33,importing
1,including
24,individual
4,integrate
18,integrated
20,internet
81,isometric
18,issue
14,itchio
4,judge
1,keeping
18,kind
6,know
82,larger
45,layer
1,learning
99,like
4,limit
4,limitation
30,limited
23,link
1,list
13,little
1,looking
24,loop
6,lot
26,love
4,lua
1,main
44,make
239,management
81,managementorganization
10,map
4,may
6,maybe
1,mean
23,menu
20,microphone
10,middle
19,mill
6,mode
12,moment
62,movement
21,movent
34,much
15,multiple
33,multitile
2,music
20,muting
2,myfunc
38,na
1,nature
45,new
21,non
6,novice
13,object
35,onion
28,operator
22,opinion
54,option
20,organize
12,original
10,outside
19,path
19,performance
2,physic
58,pixel
2,platformer
14,play
30,playdate
85,player
1,playing
29,point
12,possible
6,potential
10,powerful
18,print
24,programming
46,project
105,pulp
2,pulpscript
33,qol
26,regular
14,release
1,request
107,resolution
26,resource
1,restricting
4,rid
18,robust
78,room
50,save
1,say
43,screen
13,script
40,scripting
43,sdk
18,section
16,see
13,separate
2,sharable
2,shared
19,show
33,sideloading
1,simplistic
23,size
35,skin
37,smooth
16,solution
13,something
2,sometime
20,song
4,soon
45,sorting
41,sound
30,soundmusic
1,specific
21,speech
18,speed
22,spent
267,sprite
66,state
49,structs
24,stuff
2,subtile
95,support
28,sure
96,system
2,table
12,target
6,template
16,terrible
78,text
43,thing
45,think
304,tile
6,tilebased
22,time
10,toggle
24,traditional
2,transition
43,tutorial
23,tweening
31,type
37,update
1,use
1,using
50,variable
6,variety
31,version
6,viable
43,video
20,voice
20,volume
1,want
73,way
2,web
14,webplayable
10,window
18,without
2,working
10,world
46,would
16,write
28,wysiwyg
23,xy
22,yet
1,yk
