weight,word
39,2d
39,3d
28,90degree
47,ability
24,able
161,access
14,achievement
24,actual
39,actually
4,add
8,advance
4,advanced
18,affecting
25,algebra
12,already
49,also
11,alternative
14,andor
44,animated
26,animation
1,anything
179,api
38,apis
2,apisdk
17,app
24,art
69,audio
22,automatic
22,available
41,awesome
2,barely
97,basic
6,basical
24,beeing
1,beginner
4,benefit
206,better
2,big
2,block
46,bluethooth
250,bluetooth
17,box
52,boy
4,break
23,buffer
41,bug
17,build
21,built
14,builtin
14,cabel
14,cable
2,call
39,camera
50,capability
8,centralized
11,clock
8,cloud
115,code
6,coding
4,combine
11,common
18,communication
13,complete
12,comprehensive
1,computer
1,confidence
43,connectivity
1,considering
25,context
34,control
14,cool
14,cooler
25,cotton
51,could
17,crank
8,create
14,creating
1,creativityfocused
1,critic
1,crucial
8,curious
8,custom
1,dark
33,db
74,debugging
12,deepdive
24,definitely
13,delved
25,depth
16,dev
1,develop
1,developer
39,device
8,diagnostic
21,different
8,directly
17,display
12,doc
27,documentation
20,done
1,download
1,downloadinstall
4,draw
24,drawing
32,early
77,easier
48,easy
25,editor
27,effect
4,efficiency
28,efficient
2,either
2,eitheror
36,emulator
1,enable
17,encoding
26,engine
13,enough
16,environment
11,etc
14,even
6,event
4,everyone
133,example
6,exciting
14,executable
4,expanded
24,explaining
1,explains
2,explanation
8,extra
1,fact
2,familiar
26,far
54,feature
8,feedback
2,figure
23,file
4,fine
8,firmware
59,fix
27,flip
10,folk
26,font
1,forced
17,form
23,formatstring
2,forum
75,frame
57,framework
17,frameworkboilerplate
1,friend
14,frontend
27,full
19,function
125,functionality
9,gain
162,game
38,gameplay
1,generate
30,generation
58,get
4,good
1,grab
9,graph
17,graphic
2,great
1,guide
1,hand
35,happy
12,hashed
55,help
11,helper
9,hoping
27,horizontallyvertically
95,http
1,hybrid
12,id
1,idk
14,ie
26,image
8,imguilike
14,implement
24,implemented
18,increase
2,indepth
17,indicator
67,input
2,instruction
1,integrating
56,integration
21,interface
153,internet
14,intuitive
33,itchio
24,job
12,key
23,keyboard
36,kinda
2,knowing
21,language
18,layer
24,leaderboard
14,leaderboards
17,leak
30,learn
8,least
18,leaving
34,led
1,let
1,letting
14,level
25,library
12,license
186,like
25,linear
20,link
4,linking
41,linux
39,little
54,local
188,local_multiplayer
1,log
14,love
11,low
107,lua
22,mac
8,main
53,make
75,management
24,manager
42,maybe
8,mean
17,memory
2,mentioned
14,menu
31,midi
12,might
24,mimic
17,mode
1,month
34,mouse
4,move
228,multiplayer
48,multiplayernetworking
31,music
1,nearby
1,need
22,network
88,network_access
422,networking
20,new
16,newer
17,nice
22,nickname
9,node
35,nothing
9,novice
12,number
35,official
4,oh
11,ondevice
4,one
62,online
38,open
25,optimized
14,optional
1,others
8,package
36,panic
8,part
1,pc
18,pdc
51,peer
34,people
51,performance
1,perhaps
35,peripheral
67,physic
14,picture
18,pitch
11,pix
24,pixel
14,platform
108,playdate
8,playdates
34,player
4,please
6,plugging
21,port
17,portrait
25,possible
12,possibly
17,posted
23,preallocated
9,professionally
9,programming
46,project
35,pulp
12,purpose
40,raylib
35,reach
26,ready
17,readytouse
21,realistic
26,really
17,realtime
1,reflect
8,related
1,relative
18,reload
1,remote
39,rendering
85,request
38,require
47,rotation
59,run
8,runtime
35,rust
8,safe
52,sample
44,say
53,scene
72,screen
11,screensavers
159,sdk
41,see
2,seeing
13,seems
1,send
12,serial
21,setup
22,share
27,sharing
22,sideload
17,simple
41,simulation
98,simulator
9,skill
11,sleep
1,slowly
4,snprintf
2,someone
1,something
8,source
54,speed
111,sprite
2,squidgod
65,start
18,started
11,state
9,step
58,still
8,stop
8,storage
27,straightforward
6,struct
21,studio
2,stuff
12,sufficient
358,support
21,supported
13,sure
14,switch
18,synthesis
64,system
2,talk
11,task
18,tempo
9,test
51,text
42,thats
30,thing
25,think
1,thinking
12,though
12,thread
27,tilemap
14,tilesetsmaps
2,together
129,tool
4,tooling
9,transitioning
6,trial
1,true
6,tu
18,tutorial
14,twittercom
41,ui
8,unity
22,update
11,updaterefresh
24,upload
53,usb
21,usbc
65,use
9,used
2,useless
37,user
9,using
2,usually
17,utility
2,vector
24,video
6,virtualizer
51,visual
20,vscode
24,waiting
14,want
2,watch
77,way
53,web
1,website
4,whole
8,widget
168,wifi
6,within
70,without
25,wiziwig
145,would
30,would_love
13,yet
