weight,word
9,able
26,access
18,across
7,action
1,add
8,added
14,adding
1,additional
26,allow
15,already
1,also
22,always
170,amazing
18,amazingly
7,anywhere
9,appealing
24,architecture
1,arm
14,asking
3,assuring
1,aur
15,autoreload
58,awesome
2,back
9,background
15,backtracked
3,believe
67,better
1,binary
9,bit
11,blocked
18,board
3,born
11,bug
20,build
1,building
1,built
80,c_api
71,c_documentation
9,callback
1,chain
13,change
42,clear
1,clearing
1,cmake
38,code
9,coding
1,come
3,community
16,compile
37,complete
24,completed
7,component
9,concept
3,considering
3,console
15,contain
13,context
3,convinced
40,cool
7,corelibs
71,could
23,count
3,creativity
18,crossplatform
13,demo
11,develop
39,developing
8,device
14,devs
8,different
27,difficult
1,dir
3,direct
7,directly
11,discus
1,distinction
65,doc
3,document
163,documentation
31,done
9,drawing
1,drop
52,easier
11,easy
3,economic
3,either
17,emulation
10,emulator
3,engine
2,enjoy
26,especially
51,etc
8,every
14,everything
28,exactly
179,example
52,example_code
29,excellent
1,expecting
3,fairly
36,fantastic
81,far
11,faster
8,feature
2,feed
9,feel
31,file
11,fix
11,fixed
11,fixing
1,folder
14,forum
3,fully
42,fun
44,function
45,game
9,get
1,getting
45,good
114,good_work
141,great
295,great_job
142,great_work
1,guide
64,guy
97,hard
1,help
8,helpful
24,highlevel
3,idea
7,import
46,impressed
37,improve
3,incompatible
3,information
11,issue
7,item
96,job
14,joy
190,keep
3,keeping
7,kinda
46,know
3,large
19,leak
16,learning
1,least
16,library
17,like
3,limitation
32,linux
18,little
1,load
14,loooot
3,loop
2,lost
10,lot
71,love
18,love2d
21,loving
18,lua
36,make
55,making
16,many
8,matter
7,mean
19,memory
19,model
23,much
3,multiple
2,music
88,need
26,network
17,new
7,next
60,nice
3,nobleengine
3,noblerobot
1,none
7,noob
1,nope
37,nothing
39,object
9,oh
33,online
1,outside
2,owned
1,package
13,parameter
1,people
2,perfect
10,place
11,platform
64,playdate
37,please
16,pls
16,possible
2,power
23,presentation
14,presentationformat
9,pretty
73,project
12,pulp
1,put
18,quality
1,quite
83,really
25,release
2,remark
7,reminder
1,requires
3,resource
1,right
1,rough
9,run
3,running
7,sample
16,scene
1,script
158,sdk
25,search
7,section
26,see
2,seem
49,seems
3,selling
63,set
17,setting
59,simulator
7,since
1,slightly
8,small
13,snippet
27,sometimes
23,sprite
14,start
1,started
8,stop
15,structure
1,struggled
15,studio
1,stuff
1,subsystem
3,suggest
9,sweet
7,syntax
3,talk
14,tbh
2,tell
62,thank
108,thanks
61,thing
14,think
19,time
11,tiny
13,together
3,track
25,truly
2,try
33,tutorial
15,type
27,understand
3,unity
3,unreal
3,update
15,updated
3,upfront
8,use
9,used
16,useful
39,using
24,v1
3,viability
15,visual
9,visualy
2,voice
7,w3schools
22,want
7,website
11,weekend
110,well_done
9,wiki
31,window
2,within
21,without
142,work
9,working
29,would
31,would_love
44,would_nice
14,writing
33,yall
11,yellow
9,zindex
