weight,word
64,1015
17,11
71,12
41,1_game
57,1week
40,2022
41,2023
126,24
72,2_game
53,2nd
22,34
33,3rd
16,50000
24,55
26,600
17,8am
277,able
158,absolutely
24,accompanying
18,according
12,account
16,across
12,activated
12,activates
18,activation
278,actually
45,add
64,adding
46,additional
23,adjust
11,adopter
26,adress
1,adventure
36,ago
38,ahead
14,align
43,alley
40,allow
27,allows
87,almost
37,along
30,alongside
147,already
259,also
63,although
152,always
121,amount
10,animated
18,announced
15,annoyed
53,another
72,answer
26,anticipating
31,anticipation
46,anything
33,apart
14,app
49,appreciate
20,approach
11,arcade
84,around
33,arrive
88,arrived
16,arriving
18,aspect
26,assuming
92,attention
68,auto
23,availability
144,available
18,average
61,avoid
26,avoided
30,avoids
26,away
250,awesome
32,awful
63,back
139,backlog
110,bad
11,bag
33,balance
20,bang
26,banger
23,barring
12,base
26,basically
12,basing
32,basis
30,bat
22,batch
27,become
16,becomes
72,beginning
93,behind
11,belt
11,besides
141,best
74,better
118,beyond
23,big
12,bigger
59,binge
37,binging
48,birder
16,birdwatcher
282,bit
16,bitesize
34,biweekly
44,blinking
17,blown
29,board
17,bold
54,bored
54,boring
14,bother
49,bought
17,bounce
24,brand
44,bright
86,brilliant
37,bring
12,broaden
34,broken
1,brother
31,buddy
29,builtin
12,bummer
7,bunch
27,bundle
23,burn
36,burnout
16,burnt
67,busy
81,buy
52,buying
65,bypass
229,ca
87,cadence
59,came
46,cant
44,care
17,case
65,casual
17,casually
20,catalog
104,catch
53,catchup
21,caught
26,certainly
137,chance
58,change
27,charging
17,check
23,chip
208,choice
56,choose
28,click
32,code
34,cohesive
23,collective
309,come
108,coming
68,comment
23,commit
25,communal
200,community
17,commute
17,company
29,compared
73,compelling
53,complete
25,conceal
104,concept
71,concern
11,concerned
28,confusing
29,connect
32,connected
7,considered
18,considering
28,consistently
290,console
70,content
120,continue
14,continuing
26,conversation
192,cool
7,corporate
14,correct
152,could
28,could_one
73,couple
43,course
39,cover
41,covid
27,crank
1,crankin
64,crazy
1,create
48,created
34,critical
22,cu
32,culture
50,cup
82,curated
39,curating
26,curious
31,current
17,currently
30,customer
34,cycle
46,data
44,date
353,day
25,debacle
49,decide
40,decided
134,definitely
11,deflating
32,defy
27,delay
37,delayed
26,delighted
34,deliver
78,delivered
35,delivering
318,delivery
93,delivery_system
11,demo
21,depth
34,designed
26,desired
52,develop
147,developer
190,device
56,devs
20,dictate
1,difference
231,different
33,digest
18,diminishes
33,dip
37,disappointed
40,discord
23,discovered
49,discovering
21,discus
16,discussing
14,discussion
7,disparaging
26,dissemination
26,distracting
29,distributed
56,diversity
16,doesnt
125,done
21,donno
92,download
111,downloaded
17,downloading
30,downside
44,drip
33,dripfed
34,drive
11,driven
17,drop
34,drought
11,dry
10,dsi
29,dud
60,dunno
62,earlier
172,early
27,easier
51,economically
27,effectively
32,either
22,elsewhere
22,email
37,encounter
27,encouraged
85,encourages
95,end
35,endless
11,endlessly
54,energy
140,engaged
160,enjoy
23,enjoyable
29,enjoyed
204,enough
25,entirely
27,envisioned
89,especially
33,etc
189,even
20,event
65,eventually
32,ever
217,every
296,every_week
322,everyone
27,everything
1,ex
101,excited
55,excitement
302,exciting
10,exist
20,expectation
54,expecting
27,experiance
227,experience
58,experienced
42,experiment
23,explained
107,explore
21,exploring
16,extended
86,fact
34,fair
18,faith
12,fancy
10,fandom
54,far
160,fast
23,fault
33,favourite
30,fed
44,feed
34,feedback
104,feel
126,feel_like
75,feeling
26,fell
192,felt
27,fence
1,fighting
60,filler
65,finally
157,find
17,finding
59,finish
17,finished
16,finishing
184,first
98,first_season
84,first_two
151,first_week
86,fit
26,flash
