weight,word
65,10
19,12
44,16
10,2011
121,24
84,45
11,50
26,510
16,85
64,able
13,access
45,across
42,action
122,action_game
42,actual
52,actually
34,add
10,added
24,addition
16,advantage
55,adventure
164,adventure_game
19,advertising
10,afraid
9,age
9,airpods
22,allowed
12,almost
137,also
29,always
2,amateur
61,amazed
23,amount
12,amped
10,andreas
27,annoying
1,another
9,anthology
83,anything
40,app
70,appeal
10,application
14,appreciate
44,appreciated
1,approach
1,approachable
28,apps
141,arcade
48,arcadegame
51,arcadey
16,around
48,arrive
33,arrived
1,art
10,aside
72,atm
11,atmospheric
11,attack
83,attention
18,audio
60,available
49,away
18,awful
19,awhile
14,b360
86,bad
93,balance
11,barebones
20,barely
75,based
24,basic
18,battleship
4,beat
2,beginner
21,believe
21,besides
2,best
156,better
15,big
121,birder
19,birderbare
233,bit
10,blend
1,blocked
1,blow
45,board
1,bonus
250,boogie_loop
9,bos
24,bother
56,bought
32,bound
33,boundary
14,breadth
33,break
4,bring
49,bringing
33,broken
4,brother
2,buck
47,bug
128,buggy
63,bullseye
71,bummed
12,burnes
9,burst
24,but
31,button
159,ca
10,came
47,captured
24,card
87,care
9,carry
9,case
35,casual
156,casual_birder
10,cavanagh
9,central
48,centric
11,challenge
26,charge
23,charming
20,chaser
15,checkins
48,choice
88,chosen
24,clicked
14,closer
1,clunky
15,combat
139,come
34,comical
1,coming
2,committed
10,community
28,complete
1,composer
65,concept
1,confusing
15,considering
90,console
1,consumer
10,contacting
91,content
14,context
50,continued
2,control
180,cool
14,cooler
177,could
112,couple
24,cover
9,covering
145,crank
42,cranken
25,crankin
133,crankin_time
46,cranking
38,cranklin
4,crankunit
1,crashiness
44,crawling
26,crazy
32,creativity
4,cringe
10,criterion
19,cup
40,curated
10,current
42,currently
1,cushion
1,cute
1,damage
24,dancing
34,day
15,deal
12,dearly
20,decent
11,deep
51,deeper
19,definitely
34,delivery
27,demo
51,demon_quest
9,demonquest
75,depth
31,design
4,destroying
29,detail
97,developer
27,development
67,device
41,devs
16,dialogue
4,dictate
154,different
90,different_type
69,difficult
60,dig
14,dire
8,direction
19,disappointed
89,disappointing
20,disappointment
10,discovered
23,distribution
14,dive
32,doa
31,down
54,downloaded
2,downright
15,dragon
39,driven
18,drop
4,dropped
37,dud
53,dude
11,due
44,dungeon
1,dx
17,earlier
25,early
51,easier
4,easy
1,echoic
10,effort
56,either
11,element
31,emphasis
74,end
12,ended
11,ending
35,endless
59,engaging
62,enjoy
64,enjoy_game
322,enjoyed
232,enjoying
2,enormous
33,enough
1,entertaining
26,entertiaining
23,entry
10,era
1,esotericlessaccessible
61,especially
70,etc
37,ethos
165,even
87,every
24,everybody
98,everyone
165,everything
35,example
98,excellent
40,except
15,exception
112,excited
21,executed
1,executive
39,existing
52,expect
17,expectation
110,expected
32,expecting
2,expensive
103,experience
41,experimental
4,explained
48,explanation
15,extend
47,extended
26,extra
20,extremely
26,eye
9,fact
24,fantastic
15,fantasy
459,far
139,far_week
40,fast
11,faves
89,favorite
59,favourite
1,feature
166,feedback
122,feel
73,feel_like
100,felt
72,figure
1,figuring
37,fill
10,filled
29,final
14,finale
19,find
29,finding
51,fine
34,finish
63,finished
206,first
1,firstparty
134,fishing_game
44,fit
10,fitting
11,fix
9,fixed
2,flaw
27,fleshed
17,flipper
20,folk
1,followed
38,font
1,forever
70,form
31,format
12,forrest
4,forth
45,forward
71,found
54,friend
35,frustratingly
51,full
400,fun
2,future
98,game_could
112,game_far
27,game_felt
54,game_like
42,game_much
72,game_per
197,game_week
45,game_would
121,gameplay
56,gamer
24,gamesapps
11,gamestiming
31,gametypes
60,gap
96,gem
8,general
223,genre
16,genuinely
98,get
157,getting
20,gift
80,gimmick
2,gimmicky
84,give
64,go
1,goal
18,godios
14,going
1,golf
548,good
148,good_game
206,got
54,gotten
924,great
231,great_far
27,groove
11,grouping
19,guess
9,guide
37,haha
45,half
16,halfbaked
12,handful
1,handholding
1,handle
19,happen
119,happy
106,hard
122,hard_read
22,hardware
18,hate
1,head
9,headphone
30,heavy
33,help
12,hero
98,high
2,higher
1,highlight
1,highscores
56,hit
26,hold
1,holding
10,honestly
26,hooked
45,hope
27,hour
48,however
38,huge
18,hurt
1,hyper
11,id
91,idea
1,idk
10,illiger
33,im
11,imagine
24,immediately
30,imo
23,impressed
10,impression
27,inappropriate
103,included
37,includes
12,incomplete
11,incredible
38,incredibly
11,indepth
113,indie
28,indifferent
26,ingenuinity
40,input
32,inserted
45,instead
70,instruction
46,instructionstutorials
11,intention
11,intentional
1,interaction
42,interest
19,interested
146,interesting
20,interface
25,intro
11,introduction
28,intuitive
12,inventory
2,invitation
10,involved
11,involvement
10,io
1,issue
37,itch
1,jam
26,japanesevisual
10,jeff
43,joy
46,jrpgs
55,keep
18,keeping
11,kept
2,kill
2,killer
26,kind
9,kinda
33,knew
74,know
31,knowing
121,lack
1,lacked
19,lacking
32,large
4,last
32,later
1,launch
58,le
52,least
11,leave
37,level
17,lifter
458,like
121,like_casual
38,liked
62,liking
36,listening
262,little
9,loaded
2,lock
115,long
203,longer
223,look
83,looking
98,loop
28,lost
52,lost_marble
229,lot
52,lot_game
350,love
361,love_variety
52,loved
150,loving
16,low
2,lucas
41,made
19,magic
10,main
2,majority
140,make
31,making
104,manual
280,many
1,mario
12,mark
2,market
1,marketplace
2,may
77,maybe
10,mean
25,meaty
42,mechanic
2,mediocre
52,meh
16,memory
24,mentioned
15,menu
9,message
1,metero
28,middle
92,might
31,mind
1,mindboggling
35,mini
10,minter
26,minute
93,miss
86,missed
186,mix
52,mixed
144,mixed_bag
33,mixture
20,miyoo
2,mobile
11,mode
37,model
16,moment
31,monday
10,money
4,monkeyballesque
17,morning
282,mostly
16,motionsensor
20,mouse
292,much
4,multiple
114,music
37,musician
24,name
28,narrative
11,nature
1,nearcomplete
1,neat
1,necessarily
15,necessary
205,need
80,needed
4,neutral
61,never
110,new
20,next
127,nice
15,nonbacklit
32,none
21,nonetheless
4,nonsense
33,normally
31,notch
24,note
12,nothing
26,novel
12,objective
1,odd
37,often
33,ok
41,old
1,oldschool
21,omaze
372,one
174,one_game
23,online
20,opening
41,opinion
9,opportunity
11,opposed
15,opt
17,order
69,oriented
15,others
1,out
33,outside
303,overall
58,pace
20,pacing
1,packin
1,paint
25,pairing
23,palpable
24,panda
14,panic
29,part
11,parting
14,partnering
32,party
36,past
1,patch
1,patched
33,path
15,pay
117,people
76,per_week
39,perfect
18,performance
79,perhaps
31,period
1,permutation
44,personal
1,personality
87,personally
73,pick
88,pick_pack
38,place
31,platform
144,platformer
178,platformers
272,play
77,play_game
161,playdate
184,played
227,played_yet
129,playing
62,please
60,pls
36,podcast
21,point
11,pokemon
46,polish
54,poor
9,pop
2,pope
13,possible
20,potential
14,potentially
11,prefer
2,pretend
123,pretty
14,previous
9,previously
1,produce
1,produced
1,producer
46,provide
39,provided
9,public
16,publish
1,publishes
29,pun
1,punishing
88,pup
59,put
81,puzzle
1,puzzlearcade
11,puzzler
153,quality
1,questionable
127,questy_chess
19,quick
2,quite
20,rad
171,range
1,rapid
2,rapidly
50,rather
15,read
37,reading
263,real
21,realize
1,realized
509,really
53,really_good
22,reason
9,reasonable
24,recall
33,received
25,relatively
19,release
17,released
2,releasing
9,remember
23,repeatable
39,replayability
52,represented
14,represents
2,reputation
42,require
46,required
60,rest
2,retain
1,rethink
25,retro
2,review
24,revisiting
1,rewarding
1,rhythm
37,right
45,rly
53,rock
10,rogers
30,roguelites
50,rollout
42,rounded
175,rpg
94,rpgs
20,ruined
75,s1_game
22,sad
18,sadly
11,said
14,sake
12,sasquatching
89,saturday_edition
79,say
12,saying
37,scene
40,scheme
78,score
85,screen
42,scrollers
226,season
141,season_2
111,season_one
14,second
4,section
182,see
47,seeing
65,seem
55,seemed
128,seems
37,selection
4,separated
63,sequencing
18,serious
2,seriously
72,set
42,setup
84,several
94,shallow
63,shame
1,sharingexport
24,shift
31,shooter
58,short
54,showcase
19,showing
54,side
68,similar
77,simple
26,since
1,situation
44,six
31,skill
10,slow
1,slowness
155,small
40,snak
24,snake
1,social
36,solid
144,something
45,sorry
12,sort
20,sorta
26,sound
1,soured
11,space
15,spade
27,spend
19,spending
1,spent
20,spoiled
41,spotlight
15,spread
91,spread_game
9,spring
4,stage
33,staple
204,start
14,startlingly
28,stick
178,still
131,story
11,storyprogression
1,strong
1,structure
65,stuff
108,style
133,style_game
11,subsequent
1,suggestion
71,super
33,support
111,sure
55,surprised
1,sustained
9,swapped
19,synced
14,synthesizer
