weight,word
36,address
10,ago
14,already
40,answer
21,attention
28,back
6,better
8,bit
16,busy
12,care
19,change
19,clearly
34,contact
33,contacted
15,cover
1,customer
21,email
23,emailed
18,extremely
50,fast
24,feel
25,first
33,friendly
30,get
68,good
98,great
9,guess
26,hard
45,heard_back
8,help
79,helpful
2,however
4,indicates
15,interaction
19,issue
53,keep
57,keep_good
41,know
10,launch
15,least
41,like
42,long
5,lost
27,love
6,mean
18,month
13,much
24,need
18,needed
22,new
53,nice
10,one
14,panic
10,person
7,playdate
25,please
4,polite
34,positive
5,probably
82,problem
26,process
14,question
32,quick
43,quickly
8,reach
24,received
45,reply
63,respond
4,responded
95,response
36,response_time
10,return
5,said
14,see
17,seems
9,shipping
68,slow
1,small
33,still
99,support
13,swamped
11,team
31,thank
8,think
12,though
19,time
8,took
29,twitter
14,understand
30,unit
12,use
9,using
7,wait
23,waiting
80,week
80,work
6,working
34,would
41,yet
